"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","785","0.0-0.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","15","","","","","","","","","","",""
"browser-check","browser-check","1","1780","0.0-1.0","","656776a7904ae00d6b91d1dd","0fbm7ypyh8va","15","1600","842","true","chrome","119.0.0","false","Mac OS","true","60.53","true","true"
