"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","601","0.0-0.0","","656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda","4","","","","","","","","","","",""
"browser-check","browser-check","1","1603","0.0-1.0","","656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda","4","1920","937","true","firefox","120.0.0","false","Windows 10","true","60.42","false","true"
