"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","516","0.0-0.0","","656776a7904ae00d6b91d1dd","6568ade3272517370d401596","13","","","","","","","","","","",""
"browser-check","browser-check","1","1513","0.0-1.0","","656776a7904ae00d6b91d1dd","6568ade3272517370d401596","13","1920","923","true","chrome","119.0.0","false","Windows 10","true","60.56","true","true"
