"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1440","0.0-0.0","","","","6","","","","","","","","","","",""
"browser-check","browser-check","1","2439","0.0-1.0","","","","6","1600","837","true","chrome","120.0.0","false","Mac OS","true","60.22","true","true"
