"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","580","0.0-0.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","","","","","","","","","","",""
"browser-check","browser-check","1","1572","0.0-1.0","","656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c","7","1920","968","true","firefox","120.0.0","false","Windows 10","true","60.91","false","false"
